1549,48,61
3873,47,86
2255,88,94
6386,9,42
8264,19,52
2420,57,86
4557,60,64
8564,66,76
6534,22,35
839,90,20
2928,67,73
5236,29,84
2949,70,54
1488,97,80
1127,48,40
878,53,4
1386,6,52
7005,5,71
7205,71,31
8697,22,91
2021,38,11
2634,85,45
863,77,85
3122,58,64
9653,94,62
8201,87,30
7286,95,22
4676,61,68
4981,68,65
808,22,60
3175,15,87
971,9,50
518,43,82
2735,61,69
6512,35,91
6663,46,51
1698,81,38
5862,56,30
7832,23,82
2835,73,42
9587,33,91
3102,45,90
4530,33,74
8304,90,1
5149,48,55
1421,46,87
4143,46,17
3253,73,28
7667,28,52
6008,11,52
583,52,28
7881,83,9
6062,33,49
2977,69,27
2134,56,23
3842,49,47
3668,65,7
51,29,89
3830,1,38
7996,97,93
8136,64,89
3835,74,42
9205,3,64
6660,49,94
6539,29,80
6066,80,35
6387,39,78
7909,8,51
1093,28,59
637,88,32
1997,20,83
8575,55,59
6623,95,10
4057,24,88
2990,76,28
9945,84,11
5758,33,47
5720,59,18
1262,17,40
6996,35,1
9014,88,94
5957,32,92
1437,71,14
1293,23,51
1460,39,22
4412,37,28
4561,64,60
7546,65,82
1645,17,46
1541,62,54
337,61,76
6756,18,88
1570,42,62
6648,82,96
8946,95,54
4793,100,6
757,56,48
3307,36,63
9360,99,50
7789,47,38
3649,1,3
3065,25,49
1719,23,50
1366,69,30
6120,32,39
2220,2,56
8944,41,94
8784,62,62
4687,3,11
3568,14,5
9704,72,11
9541,26,81
1883,66,11
8526,78,76
1668,37,74
6697,23,64
3233,88,8
4745,10,45
798,53,68
1778,63,91
8335,77,19
752,7,45
203,28,32
3809,71,44
9316,39,69
3078,20,86
8181,35,99
1562,33,39
507,66,46
8457,64,10
6474,52,20
2729,40,14
2829,86,96
9159,57,74
5113,83,71
9160,60,54
1972,51,54
3366,21,54
3475,52,57
1867,75,94
5535,6,97
8566,20,78
8081,29,89
4012,44,45
9910,100,2
2792,70,94
7274,23,26
7964,43,68
9912,78,87
8282,86,48
7532,3,12
9033,27,89
6852,44,20
4899,99,55
9705,21,30
3174,76,18
1476,16,13
2286,99,91
7281,33,92
6548,13,44
4155,7,59
3692,4,72
4320,62,14
7653,76,90
5725,19,23
2394,79,34
3375,98,37
5311,56,100
8416,17,81
1670,8,66
3385,56,27
9059,69,14
4734,19,40
5278,11,94
767,47,91
6400,9,37
9527,98,8
727,39,72
7733,71,2
5962,3,92
2315,86,91
6434,8,72
9526,53,77
1080,14,34
2210,86,72
4394,97,91
5643,3,38
7462,69,15
6401,7,47
8626,46,32
8386,6,3
8729,9,30
5044,79,89
8,23,9
604,73,73
3615,38,97
5846,35,81
8149,42,98
5199,60,87
1072,23,36
9837,63,3
7361,90,19
2258,21,2
7768,70,74
7682,76,29
7562,74,75
9241,1,68
8682,41,10
8432,20,97
7630,60,33
7580,71,71
4645,72,8
740,52,92
4968,57,77
2559,82,13
8047,64,98
9727,36,79
2062,89,23
305,20,6
8401,86,75
9110,84,79
9548,2,45
