6762,69,93,
3751,33,53,
105,43,48,
1387,38,67,
7766,52,11,
1338,28,98,
2191,86,73,
6375,66,75,
4474,67,65,
8584,19,74,
7839,3,63,
4204,26,9,
9767,37,74,
9296,54,67,
5223,51,22,
3680,38,81,
499,1,22,
9895,57,82,
128,47,52,
1630,51,24,
7445,35,48,
2072,11,75,
1448,4,86,
2931,64,81,
6782,44,68,
62,57,18,
7861,17,54,
1734,32,88,
8345,69,35,
8125,17,99,
7858,14,65,
9275,23,72,
9174,32,74,
8382,94,33,
9454,52,29,
1454,52,3,
5555,61,74,
166,75,30,
4381,35,24,
1811,9,81,
2544,39,13,
287,95,30,
9522,62,17,
5500,51,71,
3471,68,68,
1695,28,79,
2393,43,74,
4691,48,5,
1307,66,26,
5421,68,18,
1423,96,60,
8676,4,38,
7451,43,66,
1178,82,61,
8937,39,0,
6666,99,28,
2015,76,77,
3979,49,90,
8585,97,93,
886,9,58,
1578,84,47,
4108,15,56,
5594,68,96,
2609,86,68,
4635,78,27,
2911,87,78,
7203,99,76,
1943,99,85,
2193,12,93,
3219,80,53,
8513,66,87,
982,14,29,
6471,36,97,
3011,4,0,
5149,85,65,
4169,65,100,
1797,21,61,
3006,69,8,
6277,14,52,
9171,15,19,
7446,99,6,
5792,50,31,
5857,35,20,
175,52,69,
7838,9,73,
5669,90,61,
1026,99,20,
4237,15,39,
2779,59,100,
1273,80,46,
1072,13,63,
6754,12,42,
4447,46,96,
7172,5,84,
865,26,88,
1527,76,60,
83,48,89,
2181,74,89,
6974,45,62,
6174,100,56,
9220,23,72,
4128,21,52,
8829,30,8,
2269,28,34,
7895,41,24,
8638,58,89,
2215,2,27,
2798,60,28,
167,56,22,
3958,3,19,
5515,29,26,
9776,69,95,
6154,87,48,
1510,42,65,
615,27,89,
5277,15,66,
7689,98,27,
4536,5,72,
8697,19,42,
2411,24,88,
6257,15,71,
9041,31,85,
4990,17,98,
849,79,44,
5151,89,13,
9868,8,31,
1670,52,41,
8130,48,98,
6751,92,36,
4865,40,68,
6006,49,68,
9786,86,81,
